nct,http_status,n_armgroups,sha256,from_cache
NCT00631371,200,2,de9a84a7be186e31,False
NCT00632853,200,2,b79f8b4c11a5600b,False
NCT00638690,200,2,190af55b51b32a0b,False
NCT00651261,200,2,8d025d0c781e5b1d,False
NCT00655876,200,2,55e613f36c226324,False
NCT00667251,200,2,3a8417b3be44fa6f,False
NCT00676650,200,2,58470b9fb9fdcf8b,False
NCT00680901,200,2,6fa8823a1b9f89a8,False
NCT00686959,200,2,6fd2d34afd1d0740,False
NCT00689936,200,3,d357c4aa12e69d71,False
NCT00699751,200,2,532869b95011cf17,False
NCT00703820,200,2,1a16575841cb12d6,False
NCT00716976,200,2,21359d24da8ea0b2,False
NCT00722137,200,2,a8ab60bb3b797760,False
NCT00754845,200,2,e4b17ac1f2834187,False
NCT00762034,200,2,8ccb9e4953231c52,False
NCT00769379,200,2,a45047d8ff0e50bc,False
NCT00769704,200,2,30745d25a29a58e4,False
NCT00770874,200,2,99cfe15f164112ac,False
NCT00774345,200,2,bbcdbf40ae1c2465,False
NCT00775645,200,2,72b71e11ec164274,False
NCT00777153,200,3,2e6396759541878c,False
NCT00803062,200,4,338898072fe3ae16,False
NCT00807768,200,2,bc7be336ccd30650,False
NCT00824265,200,2,d13add648043fd00,False
NCT00844649,200,2,1931406ccf78974f,False
NCT00858364,200,2,03a34e40e204da2c,False
NCT00863655,200,2,1c14390e4fa85bc9,False
NCT00866697,200,2,11126226ad6b24d0,False
NCT00869206,200,2,be64c892eefa8129,False
NCT00879333,200,2,9bf76d9e36f406dd,False
NCT00884741,200,2,12e1aa0f4f7a068e,False
NCT00887198,200,2,4b98bb050ead1783,False
NCT00901901,200,2,a76ccbf794488fb1,False
NCT00910910,200,2,1903bf19478d3053,False
NCT00929695,200,2,34f93ed01e0e840a,False
NCT00932893,200,2,9849ccce739a67a4,False
NCT00934544,200,2,17a5208874f54ff0,False
NCT00936390,200,2,c317b1904210b339,False
NCT00942331,200,2,528eee907b812fd7,False
NCT00942357,200,2,28d920bb9389a8d7,False
NCT00943826,200,2,6ac4c26375f2a3b3,False
NCT00946712,200,2,a6d02b2795f3a3c2,False
NCT00949650,200,2,109e1714a20258ae,False
NCT00951496,200,3,5fb1105f7c6bc75a,False
NCT00952289,200,2,05b8b2775ebf575b,False
NCT00954174,200,2,d8e0365f47345c7b,False
NCT00961415,200,3,fa9fd270fe35a643,False
NCT00974311,200,2,9c792d352143cf28,False
NCT00976911,200,2,303403a4f173063f,False
NCT00984282,200,2,ab2b92cfb966a542,False
NCT01006980,200,2,72353dc077f12a13,False
NCT01012297,200,2,1ff6c67dbf6ff7e2,False
NCT01014208,200,2,ad5240edbbf1b040,False
NCT01015833,200,2,40c41587b5c88aab,False
NCT01029262,200,2,6df1c22452c66e26,False
NCT01039376,200,2,819c4483ffdbfee9,False
NCT01057810,200,2,daae9cd574e8481b,False
NCT01067144,200,2,ebb0c15b106a0dd7,False
NCT01077154,200,2,306085838a771e92,False
NCT01080391,200,2,089131755e284679,False
NCT01099449,200,3,3895e4ede42145e6,False
NCT01101438,200,2,27a18691b60a12e1,False
NCT01102426,200,2,e9c52f35c639460b,False
NCT01107626,200,3,3da346db8ac5dda5,False
NCT01109004,200,3,f0fd41bf541160bf,False
NCT01120184,200,3,7aadea0ccfabe77a,False
NCT01120249,200,2,8e6a6b68d52539c0,False
NCT01121393,200,2,75492c81c8e4f0ec,False
NCT01144364,200,1,0632055852fc5f17,False
NCT01150045,200,4,74bb31695da29220,False
NCT01154140,200,2,7821b26b86883e3d,False
NCT01156142,200,2,83b899bb8c8ffd44,False
NCT01160211,200,3,e6fbd48628983ecb,False
NCT01167712,200,2,0605d12dc2a413d3,False
NCT01168973,200,2,0365209428151758,False
NCT01169259,200,4,007234bddcd3224b,False
