Treatment Modality,N,Median TT,Mean % core_treatment,Mean Days core_treatment,Mean % imaging_diagnostics,Mean Days imaging_diagnostics,Mean % labs,Mean Days labs,Mean % clinic_visits,Mean Days clinic_visits,Mean % Research
Chemotherapy,107,31.0,69.20344122985176,27.901869158878505,6.23591863947802,1.691588785046729,20.701335881199814,7.233644859813084,3.8370523580596365,1.0046728971962617,26.937254520677836
Radiation,12,29.0,72.1161895407027,22.083333333333332,18.311171269673043,1.5833333333333333,7.42424341962134,2.0416666666666665,2.148395770002898,0.4583333333333333,25.735414689294384
Immunotherapy,174,25.0,91.87597891457254,24.933908045977013,3.575805009673946,0.8908045977011494,3.542216540417862,1.1982758620689655,0.9757515014578549,0.27586206896551724,7.1180215500918065
Targeted Therapy,325,19.5,69.57845651605636,18.71076923076923,11.770853452020097,2.0723076923076924,17.244818827517992,4.344615384615385,1.3003268193693227,0.3446153846153846,29.015672279538087
Endocrine,46,14.0,61.683473565902815,9.858695652173912,13.423982547559396,1.0326086956521738,17.508402965428505,2.5434782608695654,7.009328327406131,0.32608695652173914,30.93238551298791
Other,98,10.75,44.82968601421611,8.551020408163266,10.100745029748001,1.1377551020408163,24.411661140976396,3.4030612244897958,20.65790781505949,1.0153061224489797,34.5124061707244
