filename,intervention_screening,intervention_1_month,intervention_3_months,intervention_6_months,intervention_9_months,intervention_12_months,intervention_intensity,intervention_cycle_length,control_screening,control_1_month,control_3_months,control_6_months,control_9_months,control_12_months,control_intensity,control_cycle_length,delta_screening,delta_1_month,delta_3_months,delta_6_months,delta_9_months,delta_12_months,delta_intensity,pmid,publication_year,Funder,Industry,Disease Site,Disease Stage,Treatment Type,Condition,intervention,Publication Year,NCT Number,Design,Enrollment,Start Date,Enrollment Year,sponsor_binary,disease_site,treatment_modality,start_year
30738780 CT_Summary_SoE.pdf,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30738780,,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostatic Neoplasms,"DRUG: Radium-223 dichloride (Xofigo, BAY88-8223)|DRUG: Matching placebo (normal saline)|DRUG: Abiraterone|DRUG: Prednisone/Prednisolone",2019,NCT02043678,Superiority,806,3/30/2014,2014,Industry,GU,Endocrine,2014
PIMD 27718847 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,0.0,-2.0,-4.0,-6.0,-6.0,-6.0,-0.5,27718847,,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non-Small Cell Lung Carcinoma,DRUG: Pembrolizumab|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Gemcitabine,2016,NCT02142738,Superiority,305,8/25/2014,2014,Industry,Thor,Immunotherapy,2014
PMID 19213681 a_Summary_SoE.pdf,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19213681,2009.0,INDUSTRY,Yes,Breast,Non-metastatic,Systemic Therapy,Breast Cancer,DRUG: tamoxifen|DRUG: anastrozole|DRUG: zoledronic acid|OTHER: goserelin,2009,NCT00295646,Superiority,1803,1999-06,1999,Industry,Breast,Endocrine,1999
PMID 20525992 a_Summary_SoE.pdf,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525992,2010.0,INDUSTRY,Yes,Skin,Metastatic,Systemic Therapy,Melanoma|Metastases,DRUG: MDX-010 (anti-CTLA4) monoclonal antibody|BIOLOGICAL: MDX-1379 (gp100) Melanoma Peptide Vaccine,2010,NCT00094653,Superiority,1783,2004-09,2004,Industry,Skin,Targeted Therapy,2004
PMID 20525993 a_Summary_SoE.pdf,1.0,4.0,6.0,9.0,10.0,11.0,0.9166666666666666,28.0,1.0,4.0,6.0,9.0,10.0,11.0,0.9166666666666666,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525993,2010.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,"Myelogenous Leukemia, Chronic",DRUG: nilotinib|DRUG: imatinib,2010,NCT00471497,Superiority,846,7/31/2007,2007,Industry,Heme,Other,2007
PMID 20525995 a_Summary_SoE.pdf,2.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,0.0,2.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525995,2010.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,"Myeloid Leukemia, Chronic",DRUG: Dasatinib|DRUG: Imatinib,2010,NCT00481247,Superiority,547,2007-09,2007,Industry,Heme,Other,2007
PMID 20570559 CT a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20570559,2010.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non-small Cell Lung Cancer|Lung Cancer,DRUG: Docetaxel|DRUG: Vandetanib,2010,NCT00312377,Superiority,1690,2006-05,2006,Industry,Thor,Targeted Therapy,2006
PMID 20818862 a_Summary_SoE.pdf,3.0,5.0,7.0,9.0,11.0,12.0,1.0,14.0,3.0,5.0,7.0,9.0,11.0,12.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20818862,2010.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostate Cancer,BIOLOGICAL: Sipuleucel-T|BIOLOGICAL: APC-Placebo,2010,NCT00065442,Superiority,512,2003-07,2003,Industry,GU,Immunotherapy,2003
PMID 20826719 a_Summary_SoE.pdf,2.0,1.0,1.0,3.0,3.0,4.0,0.3333333333333333,0.0,2.0,1.0,1.0,3.0,3.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20826719,2010.0,OTHER,Yes,Heme,Hematologic,Supportive Care,Lymphoma|Infection|Leukemia,DRUG: Fluconazole|DRUG: Voriconazole,2010,NCT00075803,Superiority,600,2003-11,2003,Industry,Heme,Other,2003
PMID 21121833 a_Summary_SoE.pdf,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21121833,2010.0,OTHER,No,Breast,Non-metastatic,Systemic Therapy,Breast Neoplasms,DRUG: Docetaxel|DRUG: 5-fluorouracil|DRUG: Doxorubicin|DRUG: Cyclophosphamide,2010,NCT00121992,Superiority,1060,1999-07,1999,Non-Industry,Breast,Chemotherapy,1999
PMID 21282542 CT_Summary_SoE.pdf,2.0,4.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,2.0,4.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21282542,2011.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non Small Cell Lung Cancer,DRUG: Vandetanib|DRUG: Erlotinib,2011,NCT00364351,Superiority,1574,2006-08,2006,Industry,Thor,Targeted Therapy,2006
PMID 21306237 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21306237,2011.0,INDUSTRY,Yes,Other,Metastatic,Systemic Therapy,"Carcinoma, Islet Cell|Carcinoma, Pancreas",DRUG: sunitinib malate|DRUG: Placebo,2011,NCT00428597,Superiority,171,2007-06,2007,Industry,Other,Targeted Therapy,2007
PMID 21306238 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21306238,2011.0,INDUSTRY,Yes,GI,Metastatic,Systemic Therapy,Advanced Neuroendocrine Tumors of Pancreatic Origin,DRUG: Everolimus|DRUG: Everolimus Placebo,2011,NCT00510068,Superiority,410,2007-07,2007,Industry,GI,Targeted Therapy,2007
PMID 21410393 a_Summary_SoE.pdf,2.0,1.0,1.0,2.0,3.0,5.0,0.4166666666666667,45.5,2.0,1.0,1.0,2.0,3.0,5.0,0.4166666666666667,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21410393,2011.0,OTHER,Yes,Thor,NS,Systemic Therapy,Lymphangioleiomyomatosis,DRUG: Sirolimus|DRUG: Placebo,2011,NCT00414648,Superiority,89,2006-12,2006,Industry,Thor,Other,2006
PMID 21612468 a_Summary_SoE.pdf,1.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,1.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21612468,2011.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostatic Neoplasms,DRUG: Placebo|DRUG: Abiraterone acetate|DRUG: Prednisone/prednisolone,2011,NCT00638690,Superiority,1195,2008-05,2008,Industry,GU,Endocrine,2008
PMID 21621716 CT_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21621716,2011.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non-Small Cell Lung Cancer,DRUG: bevacizumab|DRUG: erlotinib HCl|DRUG: placebo,2011,NCT00130728,Superiority,636,6/8/2005,2005,Industry,Thor,Targeted Therapy,2005
PMID 21631324 a_Summary_SoE.pdf,2.0,16.0,33.0,67.0,97.0,103.0,8.583333333333334,21.0,2.0,16.0,33.0,67.0,97.0,103.0,8.583333333333334,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21631324,2011.0,NIH,Yes,Skin,Metastatic,Systemic Therapy,Recurrent Melanoma|Stage IIIA Skin Melanoma|Stage IIIB Skin Melanoma|Stage IIIC Skin Melanoma|Stage IV Skin Melanoma,BIOLOGICAL: Aldesleukin|BIOLOGICAL: gp100 Antigen|DRUG: Montanide ISA 51 VG|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration|OTHER: Laboratory Biomarker Analysis,2011,NCT00019682,Superiority,185,1999-12,2012,Industry,Skin,Targeted Therapy,1999
PMID 21639808 a_Summary_SoE.pdf,2.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,2.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21639808,2011.0,INDUSTRY,Yes,Skin,Metastatic,Systemic Therapy,Malignant Melanoma,DRUG: Vemurafenib|DRUG: Dacarbazine,2011,NCT01006980,Superiority,675,2010-01,2010,Industry,Skin,Targeted Therapy,2010
PMID 21639810 a_Summary_SoE.pdf,2.0,2.0,8.0,13.0,15.0,17.0,1.4166666666666667,21.0,2.0,2.0,8.0,13.0,15.0,17.0,1.4166666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21639810,2011.0,INDUSTRY,Yes,Skin,Metastatic,Systemic Therapy,Melanoma,DRUG: Ipilimumab|DRUG: Placebo|DRUG: Dacarbazine,2011,NCT00324155,Superiority,681,2006-08,2006,Industry,Skin,Immunotherapy,2006
PMID 21751904 a_Summary_SoE.pdf,2.0,1.0,24.0,40.0,41.0,42.0,3.5,28.0,2.0,22.0,38.0,39.0,40.0,41.0,3.4166666666666665,7.0,0.0,-21.0,-14.0,1.0,1.0,1.0,0.0833333333333334,21751904,2011.0,NETWORK,No,GU,Non-metastatic,Systemic Therapy,Prostate Cancer,DRUG: flutamide|DRUG: Zoladex|DRUG: Lupron|RADIATION: radiation therapy,2011,NCT00002597,Superiority,2028,1994-10,1994,Non-Industry,GU,Endocrine,1994
PMID 21962393 CT_Summary_SoE.pdf,3.0,15.0,24.0,35.0,44.0,45.0,3.75,14.0,3.0,15.0,24.0,34.0,35.0,36.0,3.0,14.0,0.0,0.0,0.0,1.0,9.0,9.0,0.75,21962393,2011.0,NIH,No,Heme,Hematologic,Supportive Care,Multiple Myeloma,PROCEDURE: One Autologous Transplant|PROCEDURE: Non-Myeloablative Allogeneic Transplant|PROCEDURE: Second Autologous Transplant|DRUG: Thalidomide|DRUG: Dexamethasone|BEHAVIORAL: Observation,2011,NCT00075829,Superiority,710,2003-12,2003,Non-Industry,Heme,Targeted Therapy,2003
PMID 21990397 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21990397,2011.0,INDUSTRY,Yes,Breast,Metastatic,Systemic Therapy,Metastatic Breast Cancer,DRUG: Bevacizumab|DRUG: Placebo|DRUG: Standard chemotherapy,2011,NCT00281697,Superiority,684,2006-02,2006,Industry,Breast,Targeted Therapy,2006
PMID 21991949 a_Summary_SoE.pdf,2.0,2.0,6.0,18.0,22.0,26.0,2.1666666666666665,21.0,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,0.0,0.0,1.0,10.0,12.0,15.0,1.25,21991949,2011.0,INDUSTRY,Yes,Breast,Non-metastatic,Systemic Therapy,Breast Neoplasms,DRUG: Doxorubicin|DRUG: Cyclophosphamide|DRUG: Docetaxel|DRUG: Herceptin|DRUG: Carboplatin,2012,NCT00021255,Superiority,3222,2001-04,2001,Industry,Breast,Chemotherapy,2001
PMID 22025146 CT_Summary_SoE.pdf,1.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,84.0,1.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22025146,2012.0,INDUSTRY,Yes,HN,Metastatic,Systemic Therapy,Thyroid Cancer,DRUG: ZD6474 (Vandetanib),2012,NCT00410761,Superiority,437,11/30/2006,2006,Industry,HN,Targeted Therapy,2006
PMID 22119496 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22119496,2011.0,INDUSTRY,Yes,Other,Metastatic,Systemic Therapy,Carcinoid Tumor|Malignant Carcinoid Syndrome,DRUG: Octreotide|DRUG: Placebo|DRUG: Everolimus,2011,NCT00412061,Superiority,429,2006-12,2007,Industry,Other,Targeted Therapy,2006
PMID 22149875 a_Summary_SoE.pdf,2.0,5.0,10.0,16.0,20.0,25.0,2.0833333333333335,21.0,2.0,5.0,10.0,16.0,20.0,25.0,2.0833333333333335,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22149875,2012.0,INDUSTRY,Yes,Breast,Metastatic,Systemic Therapy,Metastatic Breast Cancer,DRUG: Pertuzumab|DRUG: Placebo|DRUG: Trastuzumab|DRUG: Docetaxel,2012,NCT00567190,Superiority,808,2/12/2008,2008,Industry,Breast,Targeted Therapy,2008
PMID 22149876 a_Summary_SoE.pdf,1.0,3.0,5.0,7.0,9.0,11.0,0.9166666666666666,42.0,1.0,3.0,5.0,7.0,9.0,11.0,0.9166666666666666,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22149876,2012.0,INDUSTRY,Yes,Breast,Metastatic,Systemic Therapy,Breast Cancer,DRUG: Everolimus|DRUG: Exemestane|DRUG: Everolimus Placebo,2012,NCT00863655,Superiority,724,6/3/2009,2009,Industry,Breast,Targeted Therapy,2009
PMID 22204724 a_Summary_SoE.pdf,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22204724,2011.0,NIH,Yes,GYN,Metastatic,Systemic Therapy,Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|Fallopian Tube Mucinous Adenocarcinoma|Fallopian Tube Serous Adenocarcinoma|Fallopian Tube Transitional Cell Carcinoma|Malignant Ovarian Mixed Epithelial Tumor|Ovarian Brenner Tumor|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Adenocarcinoma|Ovarian Serous Adenocarcinoma|Ovarian Transitional Cell Carcinoma|Primary Peritoneal Serous Adenocarcinoma|Stage IIIA Fallopian Tube Cancer|Stage IIIA Ovarian Cancer|Stage IIIA Primary Peritoneal Cancer|Stage IIIB Fallopian Tube Cancer|Stage IIIB Ovarian Cancer|Stage IIIB Primary Peritoneal Cancer|Stage IIIC Fallopian Tube Cancer|Stage IIIC Ovarian Cancer|Stage IIIC Primary Peritoneal Cancer|Stage IV Fallopian Tube Cancer|Stage IV Ovarian Cancer|Stage IV Primary Peritoneal Cancer|Undifferentiated Fallopian Tube Carcinoma|Undifferentiated Ovarian Carcinoma,BIOLOGICAL: Bevacizumab|DRUG: Carboplatin|OTHER: Laboratory Biomarker Analysis|DRUG: Paclitaxel|OTHER: Placebo|OTHER: Quality-of-Life Assessment,2011,NCT00262847,Superiority,1873,2005-09,2005,Industry,GYN,Targeted Therapy,2005
PMID 22257673 a_Summary_SoE.pdf,1.0,2.0,8.0,13.0,17.0,21.0,1.75,21.0,1.0,2.0,8.0,13.0,18.0,22.0,1.8333333333333333,21.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.0833333333333332,22257673,2012.0,INDUSTRY,Yes,Breast,Metastatic,Systemic Therapy,"Neoplasms, Breast",DRUG: Lapatinib|BIOLOGICAL: Trastuzumab|DRUG: Paclitaxel,2012,NCT00553358,Superiority,455,1/5/2008,2008,Industry,Breast,Targeted Therapy,2008
PMID 22271472 a_Summary_SoE.pdf,1.0,5.0,36.0,41.0,44.0,47.0,3.9166666666666665,21.0,1.0,2.0,33.0,34.0,35.0,36.0,3.0,21.0,0.0,3.0,3.0,7.0,9.0,11.0,0.9166666666666664,22271472,2012.0,NIH,No,Thor,Metastatic,Systemic Therapy,Lung Cancer,DRUG: carboplatin|DRUG: paclitaxel|DRUG: thalidomide|RADIATION: radiation therapy,2012,NCT00004859,Superiority,589,2000-01,2000,Non-Industry,Thor,Targeted Therapy,2000
PMID 22375970 a_Summary_SoE.pdf,2.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,2.0,3.0,6.0,9.0,11.0,13.0,1.0833333333333333,28.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0833333333333334,22375970,2012.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,Myelofibrosis,DRUG: Ruxolitinib|DRUG: Best Available Therapy (BAT),2012,NCT00934544,Superiority,219,7/1/2009,2009,Industry,Heme,Targeted Therapy,2009
PMID 22375971 a_Summary_SoE.pdf,2.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,2.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22375971,2012.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,MPN (Myeloproliferative Neoplasms),DRUG: Ruxolitinib|DRUG: Placebo,2012,NCT00952289,Superiority,309,2009-08,2009,Industry,Heme,Targeted Therapy,2009
PMID 22454414 a_Summary_SoE.pdf,3.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,3.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22454414,2012.0,NIH,Yes,GU,Metastatic,Systemic Therapy,Adenocarcinoma of the Prostate|Hormone-resistant Prostate Cancer|Recurrent Prostate Cancer|Stage IV Prostate Cancer,DRUG: docetaxel|OTHER: placebo|DRUG: prednisone|BIOLOGICAL: bevacizumab|OTHER: laboratory biomarker analysis,2012,NCT00110214,Superiority,1050,2005-04,2005,Industry,GU,Targeted Therapy,2005
PMID 22508813 a_Summary_SoE.pdf,1.0,2.0,2.0,2.0,2.0,2.0,0.1666666666666666,21.0,1.0,2.0,2.0,2.0,2.0,2.0,0.1666666666666666,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22508813,2012.0,OTHER,No,Multiple,NS,Supportive Care,"Musculoskeletal Complications|Pain|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: naproxen|OTHER: placebo,2012,NCT00602420,Superiority,510,2008-06,2008,Non-Industry,Multiple,Other,2008
PMID 22529265 a_Summary_SoE.pdf,1.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,1.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22529265,2012.0,INDUSTRY,Yes,GYN,Non-metastatic,Systemic Therapy,Ovarian Cancer,DRUG: Carboplatin|DRUG: Gemcitabine|DRUG: Bevacizumab|DRUG: Placebo,2012,NCT00434642,Superiority,484,2007-04,2007,Industry,GYN,Targeted Therapy,2007
PMID 22551107 a_Summary_SoE.pdf,1.0,8.0,23.0,42.0,60.0,78.0,6.5,28.0,1.0,7.0,12.0,19.0,25.0,32.0,2.6666666666666665,21.0,0.0,1.0,11.0,23.0,35.0,46.0,3.8333333333333335,22551107,2012.0,OTHER,No,Other,Metastatic,Systemic Therapy,"Carcinoma, Adrenal Cortical",DRUG: Etoposide|DRUG: Doxorubicin|DRUG: Cisplatin|DRUG: Streptozotocin|DRUG: Mitotane,2012,NCT00094497,Superiority,304,2004-06,2004,Non-Industry,Other,Chemotherapy,2004
PMID 22564989 a_Summary_SoE.pdf,1.0,3.0,8.0,12.0,15.0,19.0,1.5833333333333333,28.0,1.0,3.0,8.0,12.0,15.0,19.0,1.5833333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22564989,2012.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,"Carcinoma, Non-Small Cell Lung",DRUG: erlotinib|DRUG: sunitinib|DRUG: erlotinib|DRUG: placebo,2012,NCT00457392,Superiority,960,2007-07,2007,Industry,Thor,Targeted Therapy,2007
PMID 22571200 a_Summary_SoE.pdf,1.0,5.0,9.0,15.0,21.0,25.0,2.0833333333333335,28.0,1.0,5.0,9.0,15.0,21.0,25.0,2.0833333333333335,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22571200,2012.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,Newly Diagnosed Multiple Myeloma,DRUG: Lenalidomide: Double-blind Induction|DRUG: Melphalan|DRUG: Prednisone|DRUG: Aspirin|DRUG: Placebo|DRUG: Lenalidomide: Double-blind Maintenance|DRUG: Lenalidomide: Open-label,2012,NCT00405756,Superiority,459,2007-01,2007,Industry,Heme,Targeted Therapy,2007
PMID 22571201 a_Summary_SoE.pdf,24.0,4.0,7.0,13.0,16.0,19.0,1.5833333333333333,28.0,24.0,4.0,7.0,13.0,16.0,19.0,1.5833333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22571201,2012.0,NIH,No,Heme,Hematologic,Systemic Therapy,DS Stage I Multiple Myeloma|DS Stage II Multiple Myeloma|DS Stage III Multiple Myeloma|Refractory Multiple Myeloma|Smoldering Multiple Myeloma,PROCEDURE: Autologous Hematopoietic Stem Cell Transplantation|OTHER: Laboratory Biomarker Analysis|DRUG: Lenalidomide|DRUG: Melphalan|PROCEDURE: Peripheral Blood Stem Cell Transplantation|OTHER: Placebo Administration,2012,NCT00114101,Superiority,460,12/15/2004,2005,Non-Industry,Heme,Targeted Therapy,2004
PMID 22585697 a_Summary_SoE.pdf,2.0,11.0,23.0,25.0,28.0,31.0,2.5833333333333335,28.0,2.0,11.0,23.0,25.0,28.0,31.0,2.5833333333333335,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22585697,2012.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,Acute Myelogenous Leukemia,DRUG: clofarabine (IV formulation)|DRUG: placebo|DRUG: cytarabine,2012,NCT00317642,Superiority,326,2006-08,2006,Industry,Heme,Chemotherapy,2006
PMID 22663011 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,19.0,1.5833333333333333,21.0,1.0,2.0,5.0,9.0,13.0,19.0,1.5833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22663011,2012.0,INDUSTRY,Yes,Skin,Metastatic,Systemic Therapy,Melanoma,DRUG: GSK1120212|DRUG: Chemotherapy,2012,NCT01245062,Superiority,322,11/22/2010,2010,Industry,Skin,Other,2010
PMID 22689805 a_Summary_SoE.pdf,1.0,6.0,23.0,41.0,60.0,79.0,6.583333333333333,28.0,1.0,11.0,39.0,76.0,110.0,144.0,12.0,28.0,0.0,-5.0,-16.0,-35.0,-50.0,-65.0,-5.416666666666667,22689805,2012.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,Acute Myeloid Leukemia,DRUG: Cytarabine or Supportive Care|DRUG: Dacogen (decitabine) only,2012,NCT00260832,Superiority,485,2005-11,2006,Industry,Heme,Chemotherapy,2005
PMID 22735384 a_Summary_SoE.pdf,1.0,3.0,6.0,10.0,14.0,20.0,1.6666666666666667,21.0,1.0,3.0,6.0,10.0,14.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22735384,2012.0,INDUSTRY,Yes,Skin,Metastatic,Systemic Therapy,Cancer,DRUG: GSK2118436|DRUG: Dacarbazine (DTIC),2012,NCT01227889,Superiority,251,12/23/2010,2010,Industry,Skin,Chemotherapy,2010
PMID 22808955 a_Summary_SoE.pdf,1.0,1.0,3.0,4.0,5.0,6.0,0.5,0.0,1.0,1.0,3.0,4.0,5.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22808955,2012.0,FED,No,GU,Non-metastatic,Local Therapy,Prostate Cancer,PROCEDURE: Radical prostatectomy,2012,NCT00007644,Superiority,731,1994-11,1994,Non-Industry,GU,Procedure,1994
PMID 22851564 a_Summary_SoE.pdf,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22851564,2012.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,"Carcinoma, Non-Small-Cell Lung","DRUG: Sorafenib (Nexavar, BAY43-9006)|DRUG: Placebo|DRUG: Gemcitabine|DRUG: Cisplatin",2012,NCT00449033,Superiority,904,2007-02,2007,Industry,Thor,Targeted Therapy,2007
PMID 22853014 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0833333333333332,22853014,2012.0,NETWORK,No,Breast,Metastatic,Systemic Therapy,Breast Cancer,DRUG: anastrozole|DRUG: fulvestrant,2012,NCT00075764,Superiority,695,2004-04,2004,Non-Industry,Breast,Endocrine,2004
PMID 22894553 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,9.0,10.0,0.8333333333333334,28.0,1.0,3.0,5.0,8.0,9.0,10.0,0.8333333333333334,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22894553,2012.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Castration-Resistant Prostate Cancer,DRUG: Enzalutamide|DRUG: Placebo,2012,NCT00974311,Superiority,1199,9/30/2009,2009,Industry,GU,Endocrine,2009
PMID 22915657 a_Summary_SoE.pdf,1.0,1.0,1.0,1.0,1.0,1.0,0.0833333333333333,21.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22915657,2012.0,OTHER,No,All,Metastatic,Supportive Care,Nausea,DRUG: aprepitant|DRUG: dexamethasone|DRUG: granisetron hydrochloride|DRUG: palonosetron hydrochloride|DRUG: prochlorperazine|DRUG: placebo,2012,NCT00475085,Superiority,1021,2006-12,2007,Non-Industry,Other,Other,2006
PMID 22949154 a_Summary_SoE.pdf,2.0,2.0,4.0,7.0,8.0,9.0,0.75,28.0,2.0,2.0,4.0,7.0,8.0,9.0,0.75,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22949154,2012.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,Chronic Myeloid Leukemia,DRUG: Bosutinib|DRUG: imatinib,2012,NCT00574873,Superiority,502,2/5/2008,2008,Industry,Heme,Other,2008
