filename,intervention_screening,intervention_1_month,intervention_3_months,intervention_6_months,intervention_9_months,intervention_12_months,intervention_intensity,intervention_cycle_length,control_screening,control_1_month,control_3_months,control_6_months,control_9_months,control_12_months,control_intensity,control_cycle_length,delta_screening,delta_1_month,delta_3_months,delta_6_months,delta_9_months,delta_12_months,delta_intensity,pmid,publication_year,Funder,Industry,Disease Site,Disease Stage,Treatment Type,Condition,intervention,Publication Year,NCT Number,Design,Enrollment,Start Date,Enrollment Year,sponsor_binary,disease_site,treatment_modality,start_year
PMID 28380315 a_Summary_SoE.pdf,1.0,10.0,18.0,21.0,21.0,22.0,1.8333333333333333,0.0,1.0,11.0,19.0,22.0,22.0,23.0,1.9166666666666667,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0833333333333334,28380315,2017.0,OTHER,No,Heme,Hematologic,Systemic Therapy,"Leukemia, Myelocytic, Acute",DRUG: Fludarabine and Busulfan|DRUG: Fludarabine and Melphalan|DRUG: Busulfan and Fludarabine|DRUG: Busulfan and Cyclophosphamide|DRUG: Cyclophosphamide and Total Body Irradiation,2017,NCT01339910,Other,272,2011-06,2011,Non-Industry,Heme,Chemotherapy,2011
PMID 28384065 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28384065,2017.0,NIH,Yes,Other,Metastatic,Systemic Therapy,Colorectal Neuroendocrine Tumor G1|Gastric Neuroendocrine Tumor G1|Neuroendocrine Neoplasm|Neuroendocrine Tumor|Neuroendocrine Tumor G2,BIOLOGICAL: Bevacizumab|OTHER: Laboratory Biomarker Analysis|DRUG: Octreotide Acetate|BIOLOGICAL: Recombinant Interferon Alfa-2b,2017,NCT00569127,Superiority,427,12/1/2007,2007,Industry,Other,Immunotherapy,2007
PMID 28438473 a_Summary_SoE.pdf,1.0,2.0,10.0,23.0,30.0,34.0,2.8333333333333335,21.0,2.0,7.0,15.0,27.0,28.0,29.0,2.4166666666666665,21.0,-1.0,-5.0,-5.0,-4.0,2.0,5.0,0.4166666666666669,28438473,2017.0,NIH,Yes,GYN,"Metastatic, Non-metastatic",Systemic Therapy,Clear Cell Adenocarcinoma|Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|Fallopian Tube Mucinous Adenocarcinoma|Fallopian Tube Serous Adenocarcinoma|Fallopian Tube Transitional Cell Carcinoma|Fallopian Tube Undifferentiated Carcinoma|Mucinous Adenocarcinoma|Ovarian Brenner Tumor|Ovarian Clear Cell Adenocarcinofibroma|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Seromucinous Carcinoma|Ovarian Serous Adenocarcinoma|Ovarian Transitional Cell Carcinoma|Ovarian Undifferentiated Carcinoma|Primary Peritoneal Clear Cell Adenocarcinoma|Primary Peritoneal Endometrioid Adenocarcinoma|Primary Peritoneal Serous Adenocarcinoma|Primary Peritoneal Transitional Cell Carcinoma|Primary Peritoneal Undifferentiated Carcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Undifferentiated Carcinoma,BIOLOGICAL: Bevacizumab|DRUG: Carboplatin|DRUG: Docetaxel|DRUG: Gemcitabine Hydrochloride|OTHER: Laboratory Biomarker Analysis|DRUG: Paclitaxel|OTHER: Quality-of-Life Assessment,2017,NCT00565851,Superiority,1052,12/6/2007,2007,Industry,GYN,Targeted Therapy,2007
PMID 28492898 CT_Summary_SoE.pdf,1.0,6.0,12.0,17.0,21.0,26.0,2.1666666666666665,21.0,1.0,6.0,12.0,17.0,21.0,26.0,2.1666666666666665,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28492898,2017.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Locally Advanced or Metastatic Non Small Cell Lung Cancer Stage IIIb - IV,DRUG: Selumetinib|DRUG: Docetaxel|DRUG: Placebo|DRUG: Pegylated G-CSF,2017,NCT01933932,Superiority,510,9/25/2013,2013,Industry,Thor,Targeted Therapy,2013
PMID 28501140 CT_Summary_SoE.pdf,2.0,2.0,3.0,5.0,6.0,8.0,0.6666666666666666,56.0,2.0,2.0,3.0,5.0,6.0,8.0,0.6666666666666666,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28501140,2017.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non-Small Cell Lung Cancer,DRUG: Alectinib|DRUG: Crizotinib,2017,NCT02075840,Other,303,8/19/2014,2014,Industry,Thor,Targeted Therapy,2014
PMID 28578601 a_Summary_SoE.pdf,2.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,2.0,5.0,10.0,19.0,27.0,37.0,3.0833333333333335,21.0,0.0,-1.0,-3.0,-8.0,-12.0,-17.0,-1.4166666666666667,28578601,2017.0,INDUSTRY,Yes,Breast,Metastatic,Systemic Therapy,Breast Cancer Metastatic|BRCA 1 Gene Mutation|BRCA 2 Gene Mutation,DRUG: Olaparib|DRUG: Physician's choice chemotherapy,2017,NCT02000622,Superiority,302,3/27/2014,2014,Industry,Breast,Targeted Therapy,2014
PMID 28578607 a_Summary_SoE.pdf,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28578607,2017.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostate Neoplasms,DRUG: Abiraterone acetate|DRUG: Prednisone|OTHER: Androgen deprivation therapy (ADT)|DRUG: Abiraterone acetate Placebo|DRUG: Prednisone Placebo,2017,NCT01715285,Superiority,1209,2/12/2013,2013,Industry,GU,Endocrine,2013
PMID 28580882 a_Summary_SoE.pdf,2.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,2.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28580882,2017.0,INDUSTRY,Yes,Breast,Metastatic,Systemic Therapy,Breast Neoplasms,DRUG: Abemaciclib|DRUG: Fulvestrant|DRUG: Placebo,2017,NCT02107703,Superiority,669,7/22/2014,2014,Industry,Breast,Targeted Therapy,2014
PMID 28581356 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28581356,2017.0,INDUSTRY,Yes,Breast,Non-metastatic,Systemic Therapy,Breast Cancer,DRUG: 5-Fluorouracil|DRUG: Carboplatin|DRUG: Cyclophosphamide|DRUG: Docetaxel|DRUG: Doxorubicin|DRUG: Epirubicin|DRUG: Paclitaxel|DRUG: Pertuzumab|DRUG: Placebo|DRUG: Trastuzumab,2017,NCT01358877,Superiority,4804,11/8/2011,2011,Industry,Breast,Targeted Therapy,2011
PMID 28600132 CT_Summary_SoE.pdf,1.0,4.0,9.0,13.0,17.0,21.0,1.75,21.0,1.0,2.0,5.0,9.0,13.0,17.0,1.4166666666666667,21.0,0.0,2.0,4.0,4.0,4.0,4.0,0.3333333333333332,28600132,2017.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,Primary Cutaneous Anaplastic Large Cell Lymphoma|Mycosis Fungoides|Cutaneous T-Cell Lymphoma,DRUG: Brentuximab Vedotin|DRUG: Methotrexate|DRUG: Bexarotene,2017,NCT01578499,Superiority,131,6/11/2012,2012,Industry,Heme,Targeted Therapy,2012
