filename,NCT Number,pmid,conf_flip,uncertain,mismatch,no_iv,no_ct,plac_iv
PMID 34855460 a_Summary_SoE.pdf,NCT02345850,34855460,False,True,False,False,False,False
PMID 34882169 a_Summary_SoE.pdf,NCT01781468,34882169,False,True,False,False,False,False
PMID 34890060 CT_Summary_SoE.pdf,NCT03103321,34890060,False,True,False,False,False,False
PMID 34914339 a_Summary_SoE.pdf,NCT01272037,34914339,True,False,False,False,True,False
PMID 34997889 CT_Summary_SoE.pdf,NCT00500890,34997889,False,False,False,False,True,False
PMID 35007153 a_Summary_SoE.pdf,NCT00954174,35007153,True,False,False,False,True,False
PMID 35030011 a_Summary_SoE.pdf,NCT02967692,35030011,False,False,True,False,False,False
PMID 35038433 CT_Summary_SoE.pdf,NCT01196390,35038433,True,False,False,False,True,False
PMID 35213496 CT_Summary_SoE.pdf,NCT03196791,35213496,True,False,False,False,True,False
PMID 35290101 a_Summary_SoE.pdf,NCT02446600,35290101,False,True,False,False,False,False
PMID 35403841 a_Summary_SoE.pdf,NCT02998528,35403841,False,True,False,False,False,False
PMID 35569466 CT_Summary_SoE.pdf,NCT00567580,35569466,False,True,False,False,False,False
PMID 35660812 a_Summary_SoE.pdf,NCT01208662,35660812,False,False,True,False,False,False
PMID 35728048 a_Summary_SoE.pdf,NCT03268954,35728048,True,False,False,False,True,False
PMID 35759733a_Summary_SoE.pdf,NCT00108745,35759733,False,True,False,False,False,False
PMID 35810754 CT_Summary_SoE.pdf,NCT03336333,35810754,False,False,True,False,True,False
PMID 35857290 a_Summary_SoE.pdf,NCT02448381,35857290,True,False,False,True,False,False
PMID 36162037 a_Summary_SoE.pdf,NCT03068455,36162037,True,False,False,False,True,False
PMID 36308441 a_Summary_SoE.pdf,NCT03654729,36308441,False,True,False,False,False,False
PMID 36327426 a_Summary_SoE.pdf,NCT03164616,36327426,False,True,False,False,False,False
PMID 36541957 a_Summary_SoE.pdf,NCT02703272,36541957,True,False,False,False,True,False
PMID 36669140 a_Summary_SoE.pdf,NCT02306161,36669140,True,False,False,False,True,False
PMID 36709073 CT_Summary_SoE.pdf,NCT04173494,36709073,True,False,False,False,False,False
PMID 36795891 a_Summary_SoE.pdf,NCT02975934,36795891,False,False,True,False,False,False
PMID 36952634 a_Summary_SoE.pdf,NCT03748641,36952634,True,True,False,False,True,True
PMID 36996380 a_Summary_SoE.pdf,NCT01949337,36996380,False,False,True,False,True,False
PMID 37080223 CT_Summary_SoE.pdf,NCT01414608,37080223,True,False,False,False,True,False
PMID 37086745 a_Summary_SoE.pdf,NCT03523585,37086745,False,False,True,False,False,False
PMID 37141294 CT_Summary_SoE.pdf,NCT02864394,37141294,True,False,False,False,True,False
