Treatment Modality,N,Median TT,Mean % core_treatment,Mean Days core_treatment,Mean % imaging_diagnostics,Mean Days imaging_diagnostics,Mean % labs,Mean Days labs,Mean % clinic_visits,Mean Days clinic_visits,Mean % Research
Chemotherapy,97,31.0,68.23829445656817,27.84536082474227,6.203603680005273,1.6855670103092784,21.75166089253879,7.479381443298969,3.781895070053197,1.0360824742268042,27.95526457254406
Radiation,12,29.0,72.1161895407027,22.083333333333332,18.311171269673043,1.5833333333333333,7.42424341962134,2.0416666666666665,2.148395770002898,0.4583333333333333,25.735414689294384
Immunotherapy,173,25.0,91.82901925511919,24.13005780346821,3.596474402793449,0.8959537572254336,3.5626917805358835,1.2052023121387283,0.9813916835472066,0.2774566473988439,7.159166183329331
Targeted Therapy,318,19.0,69.50734002988199,18.566037735849058,11.946751065960411,2.0943396226415096,17.14987556637604,4.284591194968553,1.288165648672217,0.3411949685534591,29.096626632336452
Endocrine,43,14.0,63.27629405224613,10.406976744186046,11.871702974644153,0.9418604651162791,17.229544357615193,2.488372093023256,7.2214963059516295,0.32558139534883723,29.101247332259348
Other,95,11.0,46.50538537205852,8.794736842105262,9.34515452191548,1.105263157894737,24.39308201911249,3.4473684210526314,19.756378086913497,0.9,33.73823654102798
